modelo,parametros,test_loss,test_ap,mr_precision@0.5,mr_recall@0.5,accuracy@0.5
CNN,79225,0.028209608192999877,0.9999946027633851,0.9885057471264368,1.0,0.9982332155477032
Geometrico,nao se aplica,,0.9994265395811943,0.9428571428571428,0.9593023255813954,0.984982332155477
MLP,803201,0.19006716473153118,0.9963110638641677,0.6456692913385826,0.9534883720930233,0.9134275618374559
